product_id,title,keyword,cat1,cat2,cat3,view,image
174258746,미키마우스 키링 인형,"디즈니,미키마우스,미키,미키인형,인형",키덜트,피규어/인형,0,20,https://media.bunjang.co.kr/product/174258746_{cnt}_1640744914_w{res}.jpg
166392407,디즈니 미니어처 미키마우스 가스 오븐,"디즈니,미키,미키마우스,미니어처",키덜트,피규어/인형,0,53,https://media.bunjang.co.kr/product/166392407_{cnt}_1633619806_w{res}.jpg
134780304,익스 마우스 팝니다!,"익스,익스마우스,서든마우스,서든마우스익스인옵,인옵",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),1916,https://media.bunjang.co.kr/product/134780304_{cnt}_1637320082_w{res}.jpg
143025705,가면라이다 아마존 마우스 2000개한정,"가면라이더,가면라이더피규어,가면라이더시리즈,가면라이더아마존즈,가면라이더장난감",키덜트,피규어/인형,0,225,https://media.bunjang.co.kr/product/143025705_{cnt}_1610322531_w{res}.jpg
175679893,사용감 많은 매직마우스1 급처,,디지털/가전,PC/노트북,PC주변기기(키보드/마우스),52,https://media.bunjang.co.kr/product/175679893_{cnt}_1642043546_w{res}.jpg
175912847,마이크로소프트 디자이너 블루투스 마우스,"마우스,블루투스마우스,디자이너마우스,마이크로소프트",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),5,https://media.bunjang.co.kr/product/175912847_{cnt}_1642053047_w{res}.jpg
173171004,마우스 독서대 등 사무용품 다수 일괄,,도서/티켓/문구,문구,학습도구/문구/필기류,32,https://media.bunjang.co.kr/product/173171004_{cnt}_1641093508_w{res}.jpg
173727002,아기 미키마우스 티셔츠 레깅스 모자 set,"아기미키마우스,미키마우스바디슈트,미키마우스,아기바디슈트레깅스,아기바디슈트세트",유아동/출산,베이비의류(0-2세),우주복/슈트,35,https://media.bunjang.co.kr/product/173727002_{cnt}_1640059332_w{res}.jpg
158954401,롤 장패드 KDA장패드 리그오브레전드 게이밍 마우스 키보드패드,"롤장패드,영혼의꽃,티모,아리,kda장패드",디지털/가전,가전제품,기타(가전제품),2779,https://media.bunjang.co.kr/product/158954401_{cnt}_1641799465_w{res}.jpg
159481497,구찌 미키마우스 카드지갑,"구찌카드지갑,구찌미키마우스지갑,카드지갑,구찌",패션 액세서리,지갑 ,기타(지갑),566,https://media.bunjang.co.kr/product/159481497_{cnt}_1642052962_w{res}.jpg
175636071,한성 BKM500 블루투스 키보드+마우스 팝니다 (키스킨 포함) ,"키보드,마우스,블루투스키보드,블루투스마우스,한성",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),37,https://media.bunjang.co.kr/product/175636071_{cnt}_1641930611_w{res}.jpg
152265118,레진미키마우스 그립톡,"미키마우스,그립톡,스마트톡,레진아트,키링",디지털/가전,모바일,케이스/보호필름/액세서리,190,https://media.bunjang.co.kr/product/152265118_{cnt}_1631719336_w{res}.jpg
175912294,드림라이트 디즈니 미니 미니마우스 조명 무드등 수면등 ,"디즈니,드림라이트,미니마우스,조명,무드등",가구/인테리어,인테리어,소품,2,https://media.bunjang.co.kr/product/175912294_{cnt}_1642052737_w{res}.jpg
168206033,마우스 USB 손난로,"마우스손난로,손난로마우스패드,USB마우스패드,USB발열손난로,USB손난로",디지털/가전,가전제품,기타(가전제품),50,https://media.bunjang.co.kr/product/168206033_{cnt}_1635329936_w{res}.jpg
174585219,미키마우스 가디건,"미키마우스가디건,여성가디건,가디건,미키마우스",여성의류,가디건,0,73,https://media.bunjang.co.kr/product/174585219_{cnt}_1640851368_w{res}.jpg
175911791,HP 파빌리온 15-cs3015tx 16GB로업글 노트북가방.마우스포함,"HP노트북,15인치,파빌리온,CS3015TX,512GB",디지털/가전,PC/노트북,노트북/넷북,2,https://media.bunjang.co.kr/product/175911791_{cnt}_1642052474_w{res}.jpg
167574066,타파웨어 미키미니마우스통,"타파웨어,밀폐용기,미키마우스,미니마우스,디즈니",생활/가공식품,주방용품,보관/밀폐용기,114,https://media.bunjang.co.kr/product/167574066_{cnt}_1640009132_w{res}.jpg
175911683,마우스,,기타,0,0,1,https://media.bunjang.co.kr/product/175911683_{cnt}_1642052402_w{res}.jpg
173955022,델(Dell) 광마우스 새제품 80개 일괄,마우스,디지털/가전,PC부품/저장장치,네트워크장비,21,https://media.bunjang.co.kr/product/173955022_{cnt}_1641092264_w{res}.jpg
173943029,레이저 마우스패드 v2사이즈 L,"마우스,패드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),58,https://media.bunjang.co.kr/product/173943029_{cnt}_1640766398_w{res}.jpg
175532480,bts 방탄소년단 2019 시즌그리팅 시그 풀셋 양도 (마우스패드 있음),"bts,방탄,방탄시그,지민",스타굿즈,보이그룹,기타(보이그룹),5,https://media.bunjang.co.kr/product/175532480_{cnt}_1641725252_w{res}.jpg
175457555,로지텍 g pro x superlight 지슈라 화이트 무선 마우스,"무선마우스,로지텍gprox,게이밍마우스,무선게이밍마우스",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),257,https://media.bunjang.co.kr/product/175457555_{cnt}_1641836916_w{res}.jpg
86573247,"예리,웬디 레드벨벳 카드 10장+웬디 마우스패드3장","레드벨벳,에뛰드,예리,레벨,웬디",스타굿즈,걸그룹,팬시/포토카드,5015,https://media.bunjang.co.kr/product/86573247_{cnt}_1642052048_w{res}.jpg
174699542,로지텍  G304 흰색 판매합니다,"로지텍마우스,g304,마우스,로지텍",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),338,https://media.bunjang.co.kr/product/174699542_{cnt}_1640956448_w{res}.jpg
136037447,시착2회 미키마우스 맨투맨,"맨투맨,옷장정리,급처분,미키마우스",여성의류,맨투맨,0,112,https://media.bunjang.co.kr/product/136037447_{cnt}_1635294129_w{res}.jpg
170806475,앤커 ANKER 인체공학버티컬마우스,"마우스,버티컬마우스,앤커마우스",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),95,https://media.bunjang.co.kr/product/170806475_{cnt}_1641086194_w{res}.jpg
175002391,슈타인즈게이트 원한연쇄의 우로보로스 한정판(마우스패드 포함),"슈타게,슈타게라노벨,슈타게원작,슈타인즈게이트,라노벨초판",도서/티켓/문구,도서,만화,11,https://media.bunjang.co.kr/product/175002391_{cnt}_1641269271_w{res}.jpg
175809309,로지텍 mk545 키보드 마우스 세트,"로지텍키보드,로지텍마우스",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),27,https://media.bunjang.co.kr/product/175809309_{cnt}_1642049047_w{res}.jpg
175234113,로지텍정품 M585 멀티디바이스 무선/블루투스 마우스 새제품,"logitech,로지텍,로지택,무선마우스,마우스",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),25,https://media.bunjang.co.kr/product/175234113_{cnt}_1641971249_w{res}.jpg
147163564,"방탄 2020시즌그린팅 +웰캘린더,마우스패드 풀박 양도",,스타굿즈,보이그룹,음반/영상물,101,https://media.bunjang.co.kr/product/147163564_{cnt}_1641369607_w{res}.jpg
175839168,로지텍 정품 멀티디바이스 M585 무선&블루투스 마우스 미개봉 새제품,"logitech,로지텍,로지택,무선마우스,마우스",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),6,https://media.bunjang.co.kr/product/175839168_{cnt}_1641983808_w{res}.jpg
165377113,맥스틸 G10 pro,"맥스틸,마우스,g10pro",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),77,https://media.bunjang.co.kr/product/165377113_{cnt}_1632658009_w{res}.jpg
175046285,파스파레 마우스패드,뱅드림,키덜트,기타(키덜트),0,26,https://media.bunjang.co.kr/product/175046285_{cnt}_1641295178_w{res}.jpg
175909778,커세어 DARK CORE RGB PRO SE 마우스,"커세어마우스,무선게이밍마우스,무선마우스,게이밍마우스,커세어",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),10,https://media.bunjang.co.kr/product/175909778_{cnt}_1642051297_w{res}.jpg
175714757,ZCAN 무선 마우스 스캐너 스캔 ,"마우스,무선,로지텍,스캐너,복사",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),7,https://media.bunjang.co.kr/product/175714757_{cnt}_1641886191_w{res}.jpg
175583070,커세어 게이밍 마우스 패드 MM1000,"커세어,게이밍",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),32,https://media.bunjang.co.kr/product/175583070_{cnt}_1641782369_w{res}.jpg
175582922,커세어 무선 게이밍 마우스 DARK CORE RGB SE WIRELESS,"커세어,게이밍",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),35,https://media.bunjang.co.kr/product/175582922_{cnt}_1641782260_w{res}.jpg
175582784,커세어 무선 키보드 마우스 헤드셋 마우스 패드 일괄,"커세어,게이밍",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),80,https://media.bunjang.co.kr/product/175582784_{cnt}_1641782159_w{res}.jpg
175909378,할로윈 미키미니마우스 인형,"빈티지토이,장난감,디즈니,캐릭터,키덜트",키덜트,피규어/인형,0,1,https://media.bunjang.co.kr/product/175909378_{cnt}_1642051076_w{res}.jpg
175735943,삼성 키보드 마우스 ,,디지털/가전,PC/노트북,데스크탑,7,https://media.bunjang.co.kr/product/175735943_{cnt}_1641898116_w{res}.jpg
175909134,사파리 미니마우스 인형,"디즈니,키덜트,미키마우스,빈티지토이,소품샵",키덜트,피규어/인형,0,2,https://media.bunjang.co.kr/product/175909134_{cnt}_1642050939_w{res}.jpg
175521742,아이패드 에어3세대 셀룰러 64기가 /에플펜슬/스마트 키보드/매직마우스,"아이패드,아이패드에어3세대,애플스마트키보드,에플펜슬",디지털/가전,모바일,태블릿,65,https://media.bunjang.co.kr/product/175521742_{cnt}_1642004748_w{res}.jpg
