product_id,title,keyword,cat1,cat2,cat3,view,image
147145382,피아노가방 소프트케이스 건반가방 건반케이스 키보드가방 ,,음반/악기,악기,기타(음반/악기),781,https://media.bunjang.co.kr/product/147145382_{cnt}_1641978639_w{res}.jpg
158954401,롤 장패드 KDA장패드 리그오브레전드 게이밍 마우스 키보드패드,"롤장패드,영혼의꽃,티모,아리,kda장패드",디지털/가전,가전제품,기타(가전제품),2779,https://media.bunjang.co.kr/product/158954401_{cnt}_1641799465_w{res}.jpg
175912546,아이패드 프로 3세대 11인치 256g wifi / 매직키보드 팝니다,아이패드에어4,디지털/가전,모바일,태블릿,7,https://media.bunjang.co.kr/product/175912546_{cnt}_1642052883_w{res}.jpg
175636071,한성 BKM500 블루투스 키보드+마우스 팝니다 (키스킨 포함) ,"키보드,마우스,블루투스키보드,블루투스마우스,한성",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),37,https://media.bunjang.co.kr/product/175636071_{cnt}_1641930611_w{res}.jpg
169793272,멀티페어링키보드 블루투스키보드 무소음 3채널,"블루투스키보드,무선키보드,멀티페어링키보드,블루투스장비,무소음키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),97,https://media.bunjang.co.kr/product/169793272_{cnt}_1636788377_w{res}.jpg
171862666,레이저 블랙위도우 리니어kr 황축,"레이저블랙위도우,황축,키보드,게이밍키보드,레이저키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),329,https://media.bunjang.co.kr/product/171862666_{cnt}_1639282719_w{res}.jpg
175911769,애플 아이패드 스마트 키보드 폴리오 11인치 풀박스,"키보드,스마트키보드폴리오,키보드폴리오,아이패드키보드,애플스마트키보드",디지털/가전,모바일,태블릿,5,https://media.bunjang.co.kr/product/175911769_{cnt}_1642052452_w{res}.jpg
167026657,키보드 자판 케이스 아이폰 12프로 ,"아이폰12프로,아이폰케이스,키보드",기타,0,0,260,https://media.bunjang.co.kr/product/167026657_{cnt}_1634225971_w{res}.jpg
173504080,마르스프로 슈팅스타 키보드,키보드,디지털/가전,PC/노트북,PC주변기기(키보드/마우스),203,https://media.bunjang.co.kr/product/173504080_{cnt}_1640600940_w{res}.jpg
154561362,"삼성노트북 NT-R525-AS66B (라데온6470M , 키보드고장)",,디지털/가전,PC/노트북,노트북/넷북,639,https://media.bunjang.co.kr/product/154561362_{cnt}_1621417355_w{res}.jpg
172910654,기계식키보드 커스텀키보드 풀배열,"기계식키보드,파름신오신날,커스텀키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),220,https://media.bunjang.co.kr/product/172910654_{cnt}_1641518632_w{res}.jpg
169530815,#아콘 #블루투스키보드 #기계식키보드 #텐키리스 #오테뮤갈축,"아콘키보드,블루트스,기계식키보드,커스텀키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),373,https://media.bunjang.co.kr/product/169530815_{cnt}_1638922148_w{res}.jpg
174851733,기계식키보드 커스텀키보드 87키 텐키리스,"기계식키보드,커스텀키보드,텐키리스키보드,닌자87,갈축",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),133,https://media.bunjang.co.kr/product/174851733_{cnt}_1641519010_w{res}.jpg
175911245,아이노트 블루투스 키보드,"키보드,블루투스키보드,아이노트",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),10,https://media.bunjang.co.kr/product/175911245_{cnt}_1642052154_w{res}.jpg
175911167,[레어키보드]앱코해커 k8700 크리스탈키캡 그린라이트 기계식키보드,"기계식키보드,게이밍키보드,크리스탈키캡,앱코키보드,해커키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),22,https://media.bunjang.co.kr/product/175911167_{cnt}_1642052108_w{res}.jpg
175809309,로지텍 mk545 키보드 마우스 세트,"로지텍키보드,로지텍마우스",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),27,https://media.bunjang.co.kr/product/175809309_{cnt}_1642049047_w{res}.jpg
